"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.company.CalcLib$DoublyLinkedList.getTail ()","22,240 ms (78.3%)","22,103 ms (79.7%)","22,240 ms (17.3%)","22,103 ms (17.4%)","90,010"
"com.company.CalcLib.parser (String)","2,305 ms (8.1%)","2,234 ms (8.1%)","24,730 ms (19.3%)","24,430 ms (19.3%)","10,006"
"com.company.CalcLib$DoublyLinkedList.findOperator (char, boolean)","1,675 ms (5.9%)","1,676 ms (6%)","1,675 ms (1.3%)","1,676 ms (1.3%)","290,131"
"profiling.Profile.main (String[])","1,537 ms (5.4%)","1,184 ms (4.3%)","28,421 ms (22.1%)","27,742 ms (21.9%)","1"
"com.company.CalcLib.main (String)","197 ms (0.7%)","185 ms (0.7%)","26,884 ms (20.9%)","26,557 ms (21%)","10,006"
"com.company.CalcLib$DoublyLinkedList.append (char, double)","183 ms (0.6%)","92.9 ms (0.3%)","22,424 ms (17.5%)","22,196 ms (17.5%)","90,010"
"com.company.CalcLib.calculate (com.company.CalcLib.DoublyLinkedList)","90.1 ms (0.3%)","80.3 ms (0.3%)","1,783 ms (1.4%)","1,774 ms (1.4%)","10,006"
"com.company.CalcLib.validate (com.company.CalcLib.DoublyLinkedList)","79.9 ms (0.3%)","77.4 ms (0.3%)","161 ms (0.1%)","156 ms (0.1%)","10,006"
"com.company.CalcLib$DoublyLinkedList.writeInResult (double, boolean)","26.6 ms (0.1%)","26.0 ms (0.1%)","44.1 ms (0%)","43.4 ms (0%)","40,002"
"com.company.CalcLib$DoublyLinkedList.remove (com.company.CalcLib.DoublyLinkedList.Node)","17.4 ms (0.1%)","17.3 ms (0.1%)","17.4 ms (0%)","17.3 ms (0%)","80,004"
"com.company.CalcLib$DoublyLinkedList.resetCurrentNode ()","17.2 ms (0.1%)","16.9 ms (0.1%)","17.2 ms (0%)","16.9 ms (0%)","60,036"
"com.company.CalcLib$DoublyLinkedList.getSecondOperand ()","14.7 ms (0.1%)","14.8 ms (0.1%)","14.7 ms (0%)","14.8 ms (0%)","70,011"
"com.company.CalcLib$DoublyLinkedList.isNextNodeAnOperator ()","9.38 ms (0%)","7.74 ms (0%)","9.38 ms (0%)","7.74 ms (0%)","30,003"
"com.company.CalcLib$DoublyLinkedList.getFirstOperand ()","7.67 ms (0%)","7.70 ms (0%)","7.67 ms (0%)","7.70 ms (0%)","40,004"
"com.company.CalcLib.isNatural (double)","4.38 ms (0%)","4.26 ms (0%)","4.38 ms (0%)","4.26 ms (0%)","10,006"
"com.company.CalcLib$DoublyLinkedList.changeSecondOperand (double)","3.46 ms (0%)","3.39 ms (0%)","3.46 ms (0%)","3.39 ms (0%)","10,003"
"com.company.CalcLib$DoublyLinkedList.isRootOnly ()","3.15 ms (0%)","3.14 ms (0%)","3.15 ms (0%)","3.14 ms (0%)","10,006"
"com.company.CalcLib$DoublyLinkedList.getHeadNum ()","3.6 ms (0%)","3.1 ms (0%)","3.6 ms (0%)","3.1 ms (0%)","10,006"
"com.company.CalcLib$DoublyLinkedList.changeOperator (char)","2.97 ms (0%)","2.86 ms (0%)","2.97 ms (0%)","2.86 ms (0%)","10,003"
